vlm_name,compression_type,compression_level,count,bpp_mean,bpp_std,cer_mean,wer_mean,bleu_mean
internvl2,neural,1.000000,100,0.165438,0.070805,0.489050,0.657756,0.621526
internvl2,jpeg,10.000000,100,0.267936,0.085620,4.852618,4.750565,0.542289
internvl2,neural,3.000000,100,0.278282,0.116357,1.064435,2.327366,0.668374
internvl2,jpeg,30.000000,100,0.516200,0.180451,0.885894,1.334337,0.664485
internvl2,neural,6.000000,100,0.582162,0.239645,0.845487,2.290159,0.691631
internvl2,jpeg,50.000000,100,0.677434,0.243387,0.804080,1.681393,0.679498
internvl2,jpeg,70.000000,100,0.870209,0.320476,0.841067,1.732361,0.679604
internvl2,jpeg,90.000000,100,1.378505,0.526840,0.775537,1.663390,0.701069
qwen2-vl,neural,1.000000,100,0.165438,0.070805,0.078574,0.111587,0.866634
qwen2-vl,jpeg,10.000000,100,0.267936,0.085620,0.105984,0.149599,0.851235
qwen2-vl,neural,3.000000,100,0.278282,0.116357,0.095867,0.121777,0.906133
qwen2-vl,jpeg,30.000000,100,0.516200,0.180451,0.066731,0.084591,0.903468
qwen2-vl,neural,6.000000,100,0.582162,0.239645,0.076258,0.097913,0.935380
qwen2-vl,jpeg,50.000000,100,0.677434,0.243387,0.050243,0.069866,0.916495
qwen2-vl,jpeg,70.000000,100,0.870209,0.320476,0.098758,0.139469,0.899819
qwen2-vl,jpeg,90.000000,100,1.378505,0.526840,0.044755,0.058952,0.935272
